review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20251025-706245,CUST-10085,REST-SHJ-001,Outstanding experience! The Gulab Jamun (2 pcs)  Samosa (2 pcs)  Vegetable Biryani  Aloo Tikki Chaat  and Chole Bhature exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2025-10-26T14:47:00.695381
REV-000001,ORD-20251021-249663,CUST-10492,REST-AUH-002,Decent food but nothing special. Vegetable Biryani  Lamb Rogan Josh  Paneer Tikka  and Tandoori Roti were okay. Paneer Tikka lacked the punch I expected.,3,2025-10-26T18:54:02.695381
REV-000003,ORD-20251027-816810,CUST-10085,REST-DXB-002,Not bad  not great. Chicken Tikka Masala  Rasmalai (2 pcs)  Chicken 65  Mango Lassi  and Dal Makhani were edible. Chicken 65 needed more seasoning.,3,2025-11-01T12:30:43.695381
REV-000004,ORD-20251101-752231,CUST-10481,REST-SHJ-001,Perfect in every way! Naan  Lamb Rogan Josh  and Chicken Tikka Masala were all excellent. Naan stood out with its rich  authentic taste.,5,2025-11-06T10:10:28.695381
REV-000006,ORD-20251104-663815,CUST-10305,REST-AUH-002,Absolutely amazing Lamb Rogan Josh  Chicken Biryani  and Dal Makhani! The Chicken Biryani was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-08T15:25:53.695381
REV-000005,ORD-20251104-691386,CUST-10355,REST-AUH-002,Wow! Just wow! Dal Makhani  Fish Curry  and Garlic Naan were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2025-11-09T11:06:12.695381
REV-000008,ORD-20251107-618973,CUST-10159,REST-AUH-001,Best Indian food in UAE! Paneer Tikka were incredible. Paneer Tikka had the perfect balance of spices. Five stars!,5,2025-11-10T18:29:06.695381
REV-000009,ORD-20251108-850715,CUST-10007,REST-DXB-002,Absolutely amazing Lamb Rogan Josh  Mango Lassi  Vegetable Biryani  Gajar Halwa  and Malai Kofta! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-11T20:19:57.695381
REV-000007,ORD-20251106-871030,CUST-10457,REST-SHJ-001,Mediocre. Garlic Naan and Aloo Tikki Chaat were fine but forgettable. Aloo Tikki Chaat didn't stand out.,3,2025-11-12T15:43:25.695381
REV-000010,ORD-20251110-972276,CUST-10052,REST-DXB-002,Outstanding experience! The Paneer Tikka  Butter Chicken  and Butter Naan exceeded all expectations. Butter Naan was the star of the meal. Will definitely order again!,5,2025-11-13T15:45:33.695381
